,,,,,,,
编号,产品名称,度数,香型,产地,生产公司,零售价,产品图片
1,布袋子土豪金青稞酒,46度,清香型,青海省,青海省西宁市宝全酒业,380,202.png
2,董酒 国密,54度,董香型,贵州省,贵州董酒股份有限公司,888,041.png
3,杜康一号,52度,浓香型,河南省,河南洛阳杜康控股有限公司,368,184.png
4,峨眉春二十年典藏,52度,清香型,四川省,四川峨眉山峨眉春酒业有限公司,1520,196.png
5,峨眉春精装纯粮酒（5斤装）,52度,浓香型,四川省,四川峨眉山峨眉春酒业有限公司,2988,198.png
6,峨眉春龙凤呈祥,52度,浓香型,四川省,四川峨眉山峨眉春酒业有限公司,398,199.png
7,峨眉春十五年典藏,52度,浓香型,四川省,四川峨眉山峨眉春酒业有限公司,866,195.png
8,飞天茅台,53度,酱香型,贵州省,中国贵州茅台酒厂（集团）有限责任公司,1160,028.png
9,凤凰和鸣,42度,浓香型,四川省,四川凤凰酒业有限公司,388,252.png
10,傅谭春,54度,芝麻香型,河南省,河南省傅潭酒业有限公司,660,185.png
11,国窖 1573,52度,浓香型,四川省,泸州老窖集团有限责任公司,899,112.png
12,国台 国礼 经典版,53度,酱香型,贵州省,贵州国台酒业有限公司,889,030.png
13,国台 国礼 五斤大坛 黄金版,53度,酱香型,贵州省,贵州国台酒业有限公司,999,033.png
14,衡水老白干十八酒坊20年,39度,清香型,河北省,河北衡水老白干酿酒(集团)有限公司,886,049.png
15,红花郎十五年陈酿,53度,酱香型,四川省,四川省古蔺郎酒厂有限公司,458,129.png
16,花梨岭金钻,46度,清香型,湖北省,恩施花梨岭酒业有限公司,688,209.png
17,级选重粮十八选,52度,浓香型,重庆市,重庆市重粮酒业有限公司,688,225.png
18,剑南春52度,52度,浓香型,四川省,四川绵竹剑南春酒厂有限公司,349,119.png
19,剑南春珍藏级特酿,52度,浓香型,四川省,四川绵竹剑南春酒厂有限公司,468,120.png
20,今良造20年,42度,浓香型,四川省,四川省宜宾今良造酒业有限公司,368,216.png
21,今良造20年,45度,浓香型,四川省,四川省宜宾今良造酒业有限公司,388,217.png
22,今良造20年,52度,浓香型,四川省,四川省宜宾今良造酒业有限公司,398,218.png
23,今世缘 国缘精装,42度,浓香型,江苏省,江苏今世缘酒业股份有限公司,455,098.png
24,金徽年份酒 18 年,46度,浓香型    ,甘肃省,金徽酒股份有限公司,458,027.png
25,金沙回沙酒―红钻1988,53度,酱香型,贵州省,金沙酒业集团,538,045.png
26,金沙酱酒30年,53度,酱香型,贵州省,金沙酒业集团,2258,042.png
27,金雁・腾飞1799,48度,浓香型,四川省,四川广汉金雁酒业有限公司,498,237.png
28,金雁・樽煌15,52度,浓香型,四川省,四川广汉金雁酒业有限公司,368,236.png
29,郎酒 郎牌特曲 T6,50度,浓香型,四川省,四川省古蔺郎酒厂有限公司,728,130.png
30,品味舍得,52度,浓香型,四川省,四川舍得酒业有限公司,338,124.png
31,塞上江南 莜香15年,53度,莜香型,宁夏,宁夏香山酒业(集团)有限公司,398,161.png
32,三沟 蓝狐,63度,浓香型,辽宁省,辽宁三沟酒业有限责任公司,880,141.png
33,水井坊 井台瓶,52度,浓香型,四川省,四川水井坊股份有限公司,469,123.png
34,水井坊 臻酿八号,52度,浓香型,四川省,四川水井坊股份有限公司,339,122.png
35,五粮液1618,52度,浓香型,四川省,四川宜宾五粮液股份有限公司,919,110.png
36,五粮液普五,52度,浓香型,四川省,四川宜宾五粮液股份有限公司,899,109.png
37,习酒 窖藏1988,53度,酱香型,贵州省,贵州茅台酒厂（集团）习酒有限公司,498,037.png
38,宣酒特贡15年,46度,浓香型    ,安徽省,安徽宣酒集团股份有限公司,320,019.png
39,洋河蓝色经典梦之蓝,52度,浓香型,江苏省,洋河酒厂股份有限公司,458,097.png
40,10版出口型天佑德,42度,清香型,青海省,青海互助青稞酒销售有限公司,198,205.png
41,52度酒鬼酒,52度,馥郁香型,湖南省,酒鬼酒股份有限公司,259,091.png
42,白云池盒装酒v12,42度,浓香型,四川省,四川白云池酒业有限公司,288,230.png
43,白云池盒装酒v6,42度,浓香型,四川省,四川白云池酒业有限公司,138,231.png
44,白云池苦荞酒健荞,42度,芦丁香.白藜芦醇苦荞配制酒,四川省,四川白云池酒业有限公司,168,233.png
45,百年皖酒 15年,42度,浓香型    ,安徽省,安徽皖酒集团,168,014.png
46,宝丰陈坛15年,54度,清香型,河南省,宝丰酒业有限公司勾调中心,108,183.png
47,宝丰国色清香尊品,52度,清香型,河南省,河南宝丰酒业,199,066.png
48,草原闷倒驴 大辽魂,63度,清香型,内蒙古,宁城御泉坊酒业有限公司,288,158.png
49,丛台酒 窖龄原浆10年,41度,浓香型    ,河北省,邯郸丛台酒业股份有限公司,198,054.png
50,道光廿五  精品皇袍,38度,浓香型,辽宁,辽宁道光廿五集团满族酿酒有限责任公司,130,139.png
51,道光廿五 皇袍,39度,浓香型,辽宁,辽宁道光廿五集团满族酿酒有限责任公司,148,137.png
52,稻花香珍品一号,38度,浓香型,湖北省,湖北稻花香酒业有限公司,130,084.png
53,董酒畅享版,54度,董香型,贵州省,贵州董酒股份有限公司,148,040.png
54,杜康9窖区,50度,浓香型    ,河南省,汝阳杜康酿酒有限公司,152,058.png
55,峨眉春花开富贵,52度,浓香型,四川省,四川峨眉山峨眉春酒业有限公司,268,197.png
56,分金亭金6,42度,浓香型,江苏省,江苏分金亭酒业有限公司,198,248.png
57,汾酒青花瓷20年,53度,清香型,山西省,山西杏花村汾酒厂股份有限公司,298,103.png
58,丰谷特曲,45度,浓香型,四川省,四川省绵阳市丰谷酒业有限责任公司,115,128.png
59,凤凰秘藏,42度,浓香型,四川省,四川凤凰酒业有限公司,268,253.png
60,富平春华贵酒,45度,浓香型,河南省,贾湖酒业集团有限责任公司,168,186.png
61,富裕老窖东方巨龙,43度,浓香型,黑龙江省,黑龙江省富裕老窖酒业有限公司,199,068.png
62,富裕老窖国优精品,38度,浓香型,黑龙江省,黑龙江省富裕老窖酒业有限公司,156,070.png
63,高炉家青花瓷,42度,浓香型    ,安徽省,徽酒集团,128,016.png
64,高炉家上善若水,42度,浓香型    ,安徽省,徽酒集团,170,015.png
65,古井原浆 5年,50度,浓香型    ,安徽省,安徽古井贡酒股份有限公司,129,002.png
66,国台 嘉宾酒,53度,酱香型,贵州省,贵州国台酒业有限公司,158,031.png
67,和之基,52度,浓香型,河南省,河南豫坡酒业有限责任公司,268,187.png
68,河套王  河套老窖,36度,浓香型,内蒙古,内蒙古河套酒业集团股份有限公司,168,152.png
69,河套王 品格叁号,42度,浓香型,内蒙古,内蒙古河套酒业集团股份有限公司,300,153.png
70,河套王 品格壹号,52度,浓香型,内蒙古,内蒙古河套酒业集团股份有限公司,220,151.png
71,衡水老白干大青花,40度,清香型,河北省,河北衡水老白干酿酒(集团)有限公司,119,051.png
72,衡水老白干古法12年,52度,清香型,河北省,河北衡水老白干酿酒(集团)有限公司,258,048.png
73,衡水老白干十八酒坊8年,40.8度,清香型,河北省,河北衡水老白干酿酒(集团)有限公司,148,050.png
74,红国台升级版,53度,酱香型,贵州省,贵州国台酒业有限公司,168,032.png
75,红星青花瓷珍品,52度,清香型,北京市,北京红星股份有限公司,196,034.png
76,鸿运当头42度,42度,浓香型,四川省,宜宾大观园酒业有限责任公司,168,241.png
77,鸿运当头52度,52度,浓香型,四川省,宜宾大观园酒业有限责任公司,198,240.png
78,花梨岭,46度,清香型,湖北省,恩施花梨岭酒业有限公司,198,208.png
79,花梨岭蓝钻,52度,清香型,湖北省,恩施花梨岭酒业有限公司,298,210.png
80,皇封一品,50度,浓香型,河南省,河南张弓老酒酒业有限公司,198,188.png
81,黄河龙  老酿坊1948,32度,浓香型,山东,山东黄河龙集团有限公司,128,179.png
82,黄河龙 五福珍品,32度,浓香型,山东,山东黄河龙集团有限公司,198,180.png
83,鸡公山信阳名片,51.8度,浓香型,河南省,信阳市鸡公山酒业有限公司,160,191.png
84,吉鑫浅醉酒,45度,浓香型,四川省,"宜宾县吉鑫制酒有限责任公司
",168,224.png
85,今良造12年,45度,浓香型,四川省,四川省宜宾今良造酒业有限公司,168,214.png
86,今良造12年,52度,浓香型,四川省,四川省宜宾今良造酒业有限公司,178,215.png
87,今良造1977系列,45度,浓香型,四川省,四川省宜宾今良造酒业有限公司,208,219.png
88,今良造1977系列,52度,浓香型,四川省,四川省宜宾今良造酒业有限公司,218,220.png
89,今良造经典系列,45度,浓香型,四川省,四川省宜宾今良造酒业有限公司,128,212.png
90,今良造经典系列,52度,浓香型,四川省,四川省宜宾今良造酒业有限公司,138,213.png
91,今世缘10年典藏,42度,浓香型,江苏省,江苏今世缘酒业股份有限公司,120,099.png
92,金门高粱酒 蓝金龙,38度,清香型,福建省,金门酒厂（厦门）贸易有限公司,151,024.png
93,金门高粱酒（1958纪念酒）,53度,清香型,福建省,金门酒厂（厦门）贸易有限公司,240,025.png
94,金沙酱酒10年,51度,酱香型,贵州省,金沙酒业集团,208,043.png
95,金雁・三星特曲,52度,浓香型,四川省,四川广汉金雁酒业有限公司,148,235.png
96,金质习酒,53度,酱香型,贵州省,贵州茅台酒厂（集团）习酒有限公司,218,039.png
97,景芝酒  醉八仙,56度,浓香型,山东省,山东景芝酒业股份有限公司,119,165.png
98,九门口 大辽一号,38度,浓香型,辽宁省,葫芦岛市九江酒业有限责任公司,125,144.png
99,酒鬼酒52度天工开物,52度,馥郁香型,湖南省,酒鬼酒股份有限公司,299,092.png
100,酒海不干 子母酒,42度,清香型,青海省,青海互助金泉青稞酒酿造有限公司,198,203.png
101,口子窖 小池窖,41度,兼香型,安徽省,安徽口子酒业股份有限公司,149,008.png
102,口子窖六年,41度,兼香型,安徽省,安徽口子酒业股份有限公司,129,009.png
103,泉青稞酒源・净柔,43度,清香型,青海省,青海省互助泉青稞酒业有限公司,158,200.png
104,兰陵酒  紫气东来,52度,浓香型,山东,山东兰陵美酒股份有限公司,159,171.png
105,浏阳河 五粮精华,52度,浓香型,湖南省,湖南浏阳河酒厂有限公司,128,095.png
106,泸州老窖 窖龄30年,52度,浓香型,四川省,泸州老窖集团有限责任公司,238,114.png
107,泸州老窖 三人炫,52度,浓香型,四川省,泸州老窖集团有限责任公司,179,116.png
108,泸州老窖 特曲,38度,浓香型,四川省,泸州老窖集团有限责任公司,188,115.png
109,茅台王子酒,53度,酱香型,贵州省,中国贵州茅台酒厂（集团）有限责任公司,148,036.png
110,蒙古王 金包金顶大帐,52度,浓香型,内蒙古,内蒙古蒙古王实业股份有限公司,198,154.png
111,梦之羚,43度,清香型,青海省,青海可可西里青稞酒业有限公司,268,201.png
112,牛栏山经典二锅头,52度,清香型,北京市,北京顺鑫农业股份有限公司牛栏山酒厂,300,020.png
113,前海冰枣烈焰白酒,52度,果酒,新疆维吾尔自治区,新疆天昆百果果业股份有限公司,168,206.png
114,青花郎二十年,53度,酱香型,四川省,四川省古蔺郎酒厂有限公司,105,131.png
115,柔和金徽 柔和H3,45度,浓香型    ,甘肃省,金徽酒股份有限公司,135,026.png
116,山庄皇家窖藏9年,38度,浓香型    ,河北省,承德避暑山庄企业集团,198,052.png
117,赊店老酒明青花,52度,浓香型,河南省,河南赊店老酒股份有限公司,128,067.png
118,赊店元青花,46度,浓香型,河南省,赊店老酒股份有限公司,133,189.png
119,双沟珍宝坊 君坊,41.8度,浓香型,江苏省,江苏双沟酒业股份有限公司,109,100.png
120,四特 东方韵弘韵,52度,特香型,江西省,四特酒有限责任公司,178,101.png
121,宋河家韵,50度,浓香型    ,河南省,河南省宋河酒业股份有限公司,169,059.png
122,宋河粮液1988,50度,浓香型    ,河南省,河南省宋河酒业股份有限公司,109,060.png
123,宋河粮液国字六号,50度,浓香型,河南省,河南省宋河酒业股份有限公司,228,190.png
124,宋河粮液秘藏七号,50度,浓香型    ,河南省,河南省宋河酒业股份有限公司,198,061.png
125,西凤六年陈酿,45度,凤香型,陕西省,陕西西凤酒股份有限公司,148,107.png
126,习酒 印象贵州,53度,酱香型,贵州省,贵州茅台酒厂（集团）习酒有限公司,198,038.png
127,洋河蓝色经典海之蓝,42度,绵柔型,江苏省,洋河酒厂股份有限公司,129,096.png
128,仰韶彩陶坊地利,46度,兼香型,河南省,河南仰韶酒业有限公司,200,064.png
129,仰韶彩陶坊地利,46度,陶融香型,河南省,河南仰韶酒业有限公司,268,192.png
130,仰韶窖香红瓷,52度,兼香型型,河南省,河南仰韶酒业有限公司,138,193.png
131,宜宾酒金品42度,42度,浓香型,四川省,宜宾大观园酒业有限责任公司,235,239.png
132,宜宾酒金品52度,52度,浓香型,四川省,宜宾大观园酒业有限责任公司,265,238.png
133,迎驾贡酒 金星,40.3度,浓香型    ,安徽省,安徽迎驾贡酒股份有限公司,110,004.png
134,迎驾贡酒 银星,40.3度,浓香型    ,安徽省,安徽迎驾贡酒股份有限公司,110,006.png
135,榆树钱吉林壹号,41.8度,浓香型,吉林省,吉林省榆树钱酒业有限公司,300,079.png
136,玉泉 和谐清雅・人和,36度,浓香型,黑龙江省,黑龙江玉泉酒业,118,073.png
137,重粮级选1/9,52度,浓香型,重庆市,重庆市重粮酒业有限公司,298,226.png
138,白云边12年,42度,兼香型,湖北省,湖北白云边酒业股份有限公司,100,088.png
139,白云边5年,42度,兼香型,湖北省,湖北白云边酒业股份有限公司,36,089.png
140,白云边三星陈酿,53度,兼香型,湖北省,湖北白云边酒业股份有限公司,48,090.png
141,白云池盒装酒v3,42度,浓香型,四川省,四川白云池酒业有限公司,68,228.png
142,白云池盒装酒v9,42度,浓香型,四川省,四川白云池酒业有限公司,98,229.png
143,白云池苦荞酒康荞,42度,芦丁香.白藜芦醇苦荞配制酒,四川省,四川白云池酒业有限公司,78,232.png
144,百年牛栏山陈酿,52度,浓香型    ,北京市,北京顺鑫农业股份有限公司牛栏山酒厂,95,035.png
145,百年皖酒五年,50度,浓香型    ,安徽省,安徽皖酒集团,88,013.png
146,板城烧锅五福酒,41度,浓香型    ,河北省,承德乾隆醉酒业有限责任公司,62,053.png
147,宝丰百年荣耀1000ml,54度,清香型,河南省,河南宝丰酒业,70,065.png
148,北大仓柔和三年,50度,浓香型,黑龙江省,黑龙江北大仓集团有限公司,58,072.png
149,草原闷倒驴 小酒缸瓷瓶,38度,清香型,内蒙古,宁城御泉坊酒业有限公司,18,159.png
150,道光廿五 红袍,42度,浓香型,辽宁省,辽宁道光廿五集团满族酿酒有限责任公司,49,136.png
151,道光廿五 蓝袍,38度,浓香型,辽宁省,辽宁道光廿五集团满族酿酒有限责任公司,78,138.png
152,稻花香丰藏52度,52度,浓香型,湖北省,湖北稻花香酒业有限公司,39,082.png
153,稻花香珍品二号,52度,浓香型,湖北省,湖北稻花香酒业有限公司,56,083.png
154,蔸子火阖家团圆3斤,14度,黄酒,湖北省,湖北金盘酒业有限公司,85,250.png
155,蔸子火精品原浆5斤,14度,黄酒,湖北省,湖北金盘酒业有限公司,65,251.png
156,分金亭大曲子母,42度,浓香型,江苏省,江苏分金亭酒业有限公司,15,244.png
157,分金亭金3,42度,浓香型,江苏省,江苏分金亭酒业有限公司,98,247.png
158,分金亭特曲光瓶,46度,浓香型,江苏省,江苏分金亭酒业有限公司,30,246.png
159,分金亭优曲子母,42度,浓香型,江苏省,江苏分金亭酒业有限公司,20,245.png
160,丰谷醇 蓝尊,52度,浓香型,四川省,四川省绵阳市丰谷酒业有限责任公司,69,127.png
161,富裕老窖 纯净,38度,浓香型,黑龙江省,黑龙江省富裕老窖酒业有限公司,18,071.png
162,富裕老窖 红部优,42度,浓香型,黑龙江省,黑龙江省富裕老窖酒业有限公司,60,069.png
163,高炉家红花瓷,41度,浓香型    ,安徽省,徽酒集团,62,017.png
164,古贝春 2000系列,52度,浓香型,山东省,古贝春集团有限公司,59,177.png
165,古贝春 五粮原窖,38度,浓香型,山东省,古贝春集团有限公司,69,178.png
166,古井贡酒青花淡雅,50度,浓香型    ,安徽省,安徽古井贡酒股份有限公司,70,003.png
167,古井原浆献礼版,50度   ,浓香型    ,安徽省,安徽古井贡酒股份有限公司,90,001.png
168,贵人道 富贵满堂,36度,浓香型,山东省,山东沂蒙老区酒业有限公司,38,174.png
169,贵人道 红贵,36度,浓香型,山东省,山东沂蒙老区酒业有限公司,58,175.png
170,红盒四星天佑德,42度,清香型,青海省,青海互助青稞酒销售有限公司,88,204.png
171,红太阳  五星贵宾,52度,浓香型,山东省,山东红太阳酒业集团有限公司,98,176.png
172,红星二锅头,56度,清香型,北京市,北京红星股份有限公司,14,022.png
173,红星二锅头酒（绵柔8陈酿）,53度,清香型,北京市,北京红星股份有限公司,25,023.png
174,花梨岭,42度,清香型,湖北省,恩施花梨岭酒业有限公司,98,211.png
175,剑南春 金剑南k6,52度,浓香型,四川省,四川绵竹剑南春酒厂有限公司,89,118.png
176,剑南春绵竹大曲,38度,浓香型,四川省,四川绵竹剑南春酒厂有限公司,16.5,121.png
177,江小白 S100,45度,清香型,重庆,重庆江小白酒业有限公司,33,135.png
178,今良造福酒,52度,浓香型,四川省,四川省宜宾今良造酒业有限公司,78,221.png
179,今良造天长地久,48度45,浓香型,四川省,四川省宜宾今良造酒业有限公司,72,223.png
180,今良造至雅,45度,浓香型,四川省,四川省宜宾今良造酒业有限公司,36,222.png
181,金六福双福星,52度,浓香型,四川省,四川宜宾五粮液股份有限公司,23,132.png
182,金盘蔸子火20斤,14度,黄酒,湖北省,湖北金盘酒业有限公司,40,249.png
183,金沙回沙酒―三星金沙,53度,酱香型,贵州省,金沙酒业集团,48,044.png
184,金雁・汉青,52度,浓香型,四川省,四川广汉金雁酒业有限公司,88,234.png
185,金种子醉三秋,40度,浓香型    ,安徽省,安徽金种子酒业股份有限公司,98,011.png
186,景芝 朋友万岁,38度,浓香型,山东省,山东景芝酒业股份有限公司,99,167.png
187,景芝 青花,52度,浓香型,山东省,山东景芝酒业股份有限公司,89,166.png
188,九门口 传世小坛,42度,浓香型,辽宁省,葫芦岛市九江酒业有限责任公司,35,145.png
189,九门口 京东首关,38度,浓香型,辽宁省,葫芦岛市九江酒业有限责任公司,60,143.png
190,酒鬼三两三,52度,馥郁香型,湖南省,酒鬼酒股份有限公司,69,093.png
191,口子窖五年,40.8度,兼香型,安徽省,安徽口子酒业股份有限公司,92,007.png
192,兰陵酒  陈香蓝尊,50度,浓香型,山东省,山东兰陵美酒股份有限公司,49,170.png
193,兰陵酒  典藏陈香,50度,浓香型,山东省,山东兰陵美酒股份有限公司,89,173.png
194,兰陵酒 特酿,42度,浓香型,山东省,山东兰陵美酒股份有限公司,29,172.png
195,琅琊台 青白,33度,浓香型,山东省,青岛琅琊台集团股份有限公司,78,169.png
196,琅琊台 小青白,38度,浓香型,山东省,青岛琅琊台集团股份有限公司,30,168.png
197,老白汾10年,53度,清香型,山西省,山西杏花村汾酒厂股份有限公司,99,104.png
198,老村长酒 快乐生活,42度,浓香型,黑龙江省,黑龙江老村长酒业,30,076.png
199,老村长飘香,46度,浓香型,黑龙江省,黑龙江老村长酒业,15,077.png
200,老杜康酒1972,46度,浓香型    ,河南省,汝阳杜康酿酒有限公司,29,057.png
201,老龙口 龙泉玉液,52度,浓香型,辽宁省,沈阳天江老龙口酿造有限公司,68,146.png
202,老龙口 龙香,45度,浓香型,辽宁省,沈阳天江老龙口酿造有限公司,16,147.png
203,老龙口 龙香陈酿,49度,浓香型,辽宁省,沈阳天江老龙口酿造有限公司,58,148.png
204,老银川  泥坛子,52度,浓香型,宁夏,宁夏昊王酒业有限公司,68,164.png
205,老银川  十年陈藏,43度,浓香型,宁夏,宁夏昊王酒业有限公司,78,163.png
206,凌塔 蓝百年,42度,浓香型,辽宁省,朝阳凌塔酿造科技开发有限公司,42,150.png
207,凌塔 凌塔老窖,35度,浓香型,辽宁省,朝阳凌塔酿造科技开发有限公司,50,149.png
208,浏阳河 金世纪,42度,浓香型,湖南省,湖南浏阳河酒厂有限公司,58,094.png
209,龙江家园?,42度,浓香型,黑龙江省,黑龙江省龙江家园酒业有限公司,13,078.png
210,泸州老窖 泸小二,42度,浓香型,四川省,泸州老窖集团有限责任公司,18,117.png
211,泸州老窖 头曲,52度,浓香型,四川省,泸州老窖集团有限责任公司,60,113.png
212,茅台迎宾酒,53度,酱香型,贵州省,中国贵州茅台酒厂（集团）有限责任公司,98,029.png
213,蒙古王 古币紫砂,52度,浓香型,内蒙古,内蒙古蒙古王实业股份有限公司,41,155.png
214,蒙古王 蓝包蓝色故乡,38度,浓香型,内蒙古,内蒙古蒙古王实业股份有限公司,65,157.png
215,蒙古王 绿圆桶,44度,浓香型,内蒙古,内蒙古蒙古王实业股份有限公司,38,156.png
216,木垒糜子酒,52度,浓香型,新疆维吾尔自治区,新疆木垒县三粮酒厂,90,207.png
217,牛栏山二锅头,42度,浓香型    ,北京市,北京顺鑫农业股份有限公司牛栏山酒厂,13,021.png
218,柔和金种子酒,40度,浓香型    ,安徽省,安徽金种子酒业股份有限公司,78,010.png
219,塞上江南  宁夏壹号,53度,莜香型,宁夏,宁夏香山酒业(集团)有限公司,89,162.png
220,塞上江南 小酒仙,43度,浓香型,宁夏,宁夏香山酒业(集团)有限公司,15,160.png
221,三沟 百年窖鸿运百年,38度,兼香型,辽宁省,辽宁三沟酒业有限责任公司,88,142.png
222,三沟老窖 雪兰15年,52度,浓香型,辽宁省,辽宁三沟酒业有限责任公司,78,140.png
223,三井小刀,45度,浓香型    ,河北省,河北三井酒业股份有限公司,15,055.png
224,四特 锦瓷三星,42度,特香型,江西省,四特酒有限责任公司,88,102.png
225,泰山白酒  盛世红花,52度,浓香型,山东省,泰山酒业集团股份有限公司,49,182.png
226,泰山白酒 金缘,38度,浓香型,山东省,泰山酒业集团股份有限公司,20,181.png
227,沱牌大曲,50度,浓香型,四川省,四川舍得酒业有限公司,29,126.png
228,沱牌典雅,52度,浓香型,四川省,四川舍得酒业有限公司,70,125.png
229,五粮液 绵柔尖庄,50度,浓香型,四川省,四川宜宾五粮液股份有限公司,11,111.png
230,西凤・御宴酒,50度,凤香型,陕西省,陕西西凤酒股份有限公司,39,106.png
231,西凤酒（白瓶）,52度,凤香型,陕西省,陕西西凤酒股份有限公司,30,108.png
232,仙临水巷子特曲42度,42度,浓香型,四川省,宜宾大观园酒业有限责任公司,90,243.png
233,仙临水巷子特曲52度,52度,浓香型,四川省,宜宾大观园酒业有限责任公司,96,242.png
234,祥和金种子酒,40度,浓香型    ,安徽省,安徽金种子酒业股份有限公司,58,012.png
235,杏花村优级,53度,清香型,山西省,山西杏花村汾酒厂股份有限公司,75,105.png
236,宣酒小窖酿造,40度,浓香型    ,安徽省,安徽宣酒集团股份有限公司,79,018.png
237,仰韶彩陶坊人脉,46度,兼香型,河南省,河南仰韶酒业有限公司,65,062.png
238,仰韶小窖2号窖,52度,兼香型,河南省,河南仰韶酒业有限公司,49,063.png
239,一品杜康,50度,浓香型    ,河南省,汝阳杜康酿酒有限公司,36,056.png
240,伊力春（蓝钻石）,50度,浓香型,新疆,新疆伊力特实业股份有限公司,32,134.png
241,伊力特十年珍藏,52度,浓香型,新疆,新疆伊力特实业股份有限公司,84,133.png
242,迎驾贡酒封藏8,42度,浓香型    ,安徽省,安徽迎驾贡酒股份有限公司,95,005.png
243,榆树大曲光瓶,38度,浓香型,吉林省,吉林省榆树钱酒业有限公司,22,081.png
244,榆树钱金醇柔,38度,浓香型,吉林省,吉林省榆树钱酒业有限公司,59,080.png
245,玉泉二两半,42度,浓香型,黑龙江省,黑龙江玉泉酒业,10,075.png
246,玉泉铁盒方瓶,42度,浓香型,黑龙江省,黑龙江玉泉酒业,56,074.png
247,张弓度酒,52度,浓香型,河南省,河南省张弓酒业有限公司,100,194.png
248,枝江鸿缘,42度,浓香型,湖北省,湖北枝江酒业股份有限公司,25,087.png
249,枝江老枝江,42度,浓香型,湖北省,湖北枝江酒业股份有限公司,16.5,085.png
250,枝江银枝江,45度,浓香型,湖北省,湖北枝江酒业股份有限公司,23,086.png
251,重粮小粮票,45度,浓香型,重庆市,重庆市重粮酒业有限公司,20,227.png
